Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
First Sprint,AS-23,10024,Epic,To Do,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,,,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,11/Oct/23 11:23 PM,11/Oct/23 11:26 PM,11/Oct/23 11:29 PM,,,0,,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,,,,,,,,,,,,,,,{},,,,,purple,,,0|i00047:,,,,,,,,,,,,,To Do
Delete game.ui,AS-22,10023,Story,Done,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,Done,BSEF20A002-ALI RAZA,712020:e462b76d-ce7a-49b5-9ab7-26689273ecdf,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:20 PM,11/Oct/23 11:22 PM,11/Oct/23 11:29 PM,11/Oct/23 11:22 PM,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i0003z:,,SW Re Sprint 3,,,,,,,,,,,Done
Resize Windows,AS-21,10022,Story,To Do,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:19 PM,11/Oct/23 11:22 PM,11/Oct/23 11:29 PM,,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i0003r:,,SW Re Sprint 3,,,,,,,,,,,To Do
Game crashed when player life equals zero,AS-18,10019,Story,To Do,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,,,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,11/Oct/23 11:18 PM,11/Oct/23 11:18 PM,11/Oct/23 11:29 PM,,,0,,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,,,,,,,,,,,,,,,{},,,,,,,,0|i0003j:,,SW Re Sprint 2,,,,,,,,,,,To Do
Pacman entity disappear when eat a ghost,AS-17,10018,Story,Done,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,Done,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,11/Oct/23 11:17 PM,11/Oct/23 11:22 PM,11/Oct/23 11:18 PM,11/Oct/23 11:22 PM,,0,,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,,,,,,,,,,,,,,,{},,,,,,,,0|i0003b:,,SW Re Sprint 2,,,,,,,,,,,Done
Add Entities Dot and Pellet,AS-16,10017,Story,To Do,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:08 PM,11/Oct/23 11:13 PM,11/Oct/23 11:29 PM,,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i00033:,,SW Re Sprint 2,SW Re Sprint 1,,,,,,,,,,To Do
Add Game Entities,AS-15,10016,Story,Done,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,Done,BSEF20A002-ALI RAZA,712020:e462b76d-ce7a-49b5-9ab7-26689273ecdf,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:08 PM,11/Oct/23 11:15 PM,11/Oct/23 11:29 PM,11/Oct/23 11:15 PM,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i0002v:,,SW Re Sprint 2,SW Re Sprint 1,,,,,,,,,,Done
Add Audio resources to project,AS-14,10015,Story,Done,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,Done,Ali Raza,712020:9b763a3a-736b-4283-9ca3-81c58a95afec,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:08 PM,11/Oct/23 11:15 PM,11/Oct/23 11:29 PM,11/Oct/23 11:15 PM,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i0002n:,,SW Re Sprint 2,SW Re Sprint 1,,,,,,,,,,Done
Create a Basic Template,AS-13,10014,Story,Done,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,Done,BSEF20A028-MUHAMMAD OMAR,712020:a21c21cd-6f32-4fb4-b8b1-91604db863d5,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:08 PM,11/Oct/23 11:15 PM,11/Oct/23 11:29 PM,11/Oct/23 11:15 PM,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i0002f:,,SW Re Sprint 2,SW Re Sprint 1,,,,,,,,,,Done
Add Main Sprite,AS-12,10013,Story,To Do,AS,assignment01,software,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,Medium,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,Omeir Mujtaba,5f97b33f62584c006bcab4ce,11/Oct/23 11:07 PM,11/Oct/23 11:13 PM,11/Oct/23 11:29 PM,,,0,,,Omeir Mujtaba,5f97b33f62584c006bcab4ce,,,,,,,,,,,,,,,{},,,,,,,,0|i00027:,,SW Re Sprint 2,SW Re Sprint 1,,,,,,,,,,To Do
